; 穿孔系统
; 穿孔部位定义
0,左乳头环
;,,0:无穿孔
;,,1:普通乳环
;,,2:银质乳环
;,,3:金质乳环
;,,4:铃铛乳环
;,,5:锁链乳环
;,,6:黑桃乳环
;,,7:BBC乳环
;,,8:奴隶乳环
;----------------------------------------------------------
1,右乳头环
;,,0:无穿孔
;,,1:普通乳环
;,,2:银质乳环
;,,3:金质乳环
;,,4:铃铛乳环
;,,5:锁链乳环
;,,6:黑桃乳环
;,,7:BBC乳环
;,,8:奴隶乳环
;----------------------------------------------------------
2,阴蒂环
;,,0:无穿孔
;,,1:普通阴蒂环
;,,2:银质阴蒂环
;,,3:金质阴蒂环
;,,4:铃铛阴蒂环
;,,5:锁链阴蒂环
;,,6:黑桃阴蒂环
;,,7:BBC阴蒂环
;,,8:奴隶阴蒂环
;----------------------------------------------------------
3,阴唇环
;,,0:无穿孔
;,,1:左阴唇环
;,,2:右阴唇环
;,,3:双侧阴唇环
;,,4:铃铛阴唇环
;,,5:锁链阴唇环
;,,6:黑桃阴蒂环
;,,7:BBC阴唇环
;----------------------------------------------------------
4,肚脐环
;,,0:无穿孔
;,,1:普通肚脐环
;,,2:银质肚脐环
;,,3:金质肚脐环
;,,4:铃铛肚脐环
;,,5:锁链肚脐环
;----------------------------------------------------------
