0,体力
1,气力
2,精力
3,魔力
4,射精量
5,母乳量
6,尿意
7,勃起度
8,射精感
9,绝顶感
10,气氛
11,理性
12,怒意
13,满足度
14,羞耻心
15,兴奋度
16,背德感
17,屈辱感
18,服从度
19,依赖度
20,淫乱度
21,露出欲
22,侍奉欲
23,被虐欲
24,施虐欲
25,百合倾向
26,基佬倾向
27,自慰经验
28,口交经验
29,乳交经验
30,阴道性交经验
31,肛交经验
32,群交经验
33,露出经验
34,束缚经验
35,羞辱经验
36,服从经验
37,胸部敏感度
38,乳头敏感度
39,乳晕敏感度
40,乳首大小
41,乳晕大小
42,胸部大小
43,胸部形状
44,胸部弹力
45,乳房泌乳量
46,乳头颜色
47,乳晕颜色
48,小穴敏感度
49,阴蒂敏感度
50,阴唇敏感度
51,小穴大小
52,小穴紧致度
53,小穴弹性
54,阴唇大小
55,阴蒂大小
56,阴唇颜色
57,阴蒂颜色
58,爱液分泌量
59,高潮次数
60,肛门敏感度
61,肛门大小
62,肛门紧致度
63,肛门弹性
64,菊纹深浅
65,肛门颜色
66,前列腺敏感度
67,射精能力
68,精液味道
69,精液浓稠度
70,精液射程
71,精液量
72,身材比例
73,腰围
74,臀围
75,大腿围
76,小腿围
77,身高
78,体重
79,BMI指数
80,皮肤光泽
81,皮肤弹性
82,皮肤敏感度
83,毛发浓密
84,毛发颜色
85,体味强度
86,体味类型
87,汗液分泌
88,体温
89,心跳速度
90,呼吸频率
91,血压
92,荷尔蒙水平
93,发情周期
94,排卵日
95,妊娠可能性
96,受孕率
97,子宫状态
98,卵巢状态
99,输卵管状态
100,阴道pH值
